taxon	d__Archaea; p__Crenarchaeota	d__Archaea; p__Thermoplasmatota	d__Bacteria; p__Abditibacteriota	d__Bacteria; p__Acidobacteriota	d__Bacteria; p__Actinobacteriota	d__Bacteria; p__Armatimonadota	d__Bacteria; p__Bacteroidota	d__Bacteria; p__Bdellovibrionota	d__Bacteria; p__Campilobacterota	d__Bacteria; p__Chloroflexi	d__Bacteria; p__Cyanobacteria	d__Bacteria; p__Deferribacterota	d__Bacteria; p__Deinococcota	d__Bacteria; p__Dependentiae	d__Bacteria; p__Desulfobacterota	d__Bacteria; p__Fibrobacterota	d__Bacteria; p__Firmicutes	d__Bacteria; p__Fusobacteriota	d__Bacteria; p__Gemmatimonadota	d__Bacteria; p__Halanaerobiaeota	d__Bacteria; p__Latescibacterota	d__Bacteria; p__Myxococcota	d__Bacteria; p__Nitrospirota	d__Bacteria; p__Patescibacteria	d__Bacteria; p__Planctomycetota	d__Bacteria; p__Proteobacteria	d__Bacteria; p__RCP2-54	d__Bacteria; p__SAR324_clade(Marine_group_B)	d__Bacteria; p__Spirochaetota	d__Bacteria; p__Sumerlaeota	d__Bacteria; p__Verrucomicrobiota	d__Bacteria; p__WPS-2
AC11	0	0	985	10601	100879	1203	13561	768	0	28566	0	0	37	247	0	0	14826	0	1086	0	0	451	0	159	17444	59316	0	0	0	0	6311	9221
AC12	0	0	381	2605	71848	200	4361	963	0	130598	227	0	43	67	0	0	9137	0	547	0	0	396	0	662	20625	41329	0	0	0	0	3424	2071
AS1	0	0	109	20968	15360	163	22527	126	0	45228	2538	0	78	0	0	0	922	0	6182	0	0	1408	0	508	7797	32997	0	0	0	0	3053	1952
AS2	0	0	331	12063	22592	354	26940	241	0	28904	8343	0	1060	5	0	0	1735	0	5474	0	0	731	0	3020	5452	43996	0	0	0	0	1322	3409
AS3	0	0	393	12780	21150	204	21319	208	0	22777	3681	0	626	0	0	0	1216	0	3425	0	0	667	0	4002	5656	49319	0	0	0	0	1181	2734
AS4	0	0	171	11209	15350	358	19374	327	0	46735	11093	0	1205	25	0	0	1167	0	4810	0	0	1337	0	2932	5389	37829	0	0	0	0	1375	2806
AS5	0	0	207	11201	18114	174	28209	753	0	41291	1381	0	121	0	0	0	882	0	10694	0	0	2154	0	1817	7801	36186	0	0	0	0	3845	3413
AS6	0	0	205	15778	22614	223	22514	371	0	27509	2196	0	74	0	0	0	983	0	5561	0	0	1906	0	3557	10730	40407	0	0	0	0	3637	4655
AS7	0	0	299	18424	28769	249	15686	250	0	22958	2377	0	296	0	0	0	787	0	6443	0	0	1661	0	1122	10151	46016	0	0	0	0	2048	7059
AS8	0	0	220	15606	16214	265	16464	304	0	42753	12156	0	393	0	0	0	1029	0	4992	0	0	1152	0	927	7172	32204	0	0	0	0	1303	4048
AS9	0	0	409	24255	18568	204	17814	167	0	40532	3847	0	228	6	0	0	993	0	7198	0	0	1094	0	1543	9358	44155	0	0	0	0	2464	7171
AS10	0	0	242	17505	21766	208	12367	178	0	44215	2995	0	401	25	0	0	835	0	6290	0	0	839	0	1568	10180	41696	0	0	0	0	1542	5408
AS11	0	0	425	19068	20353	113	14680	75	0	40097	6363	0	557	20	0	0	884	0	4104	0	0	1123	0	660	10458	35261	0	0	0	0	2113	6691
AS12	0	0	279	18331	23800	140	10612	101	0	30833	3165	0	148	39	0	0	1013	0	2645	0	0	813	0	1453	11174	48556	0	0	0	0	1921	6265
EC1	0	0	0	15603	76113	0	252111	0	2235	20267	13855	0	5276	0	32180	0	284605	6867	2274	0	0	5846	0	0	14081	208562	0	0	0	0	108982	3378
EC2	0	1950	0	5610	105279	0	274344	0	3899	8045	20774	0	0	0	44003	0	264999	0	0	6273	0	0	0	5868	19047	155407	0	0	0	0	71530	0
EC3	286	0	0	20481	67531	0	116117	1047	0	10012	1555	0	0	0	30068	858	65645	0	8119	1064	822	10899	2470	848	9665	107265	896	0	910	0	68068	0
EC4	1153	0	0	15914	63508	4372	238571	4031	1012	12685	3260	1202	0	0	49187	1172	97813	0	2118	0	0	890	1523	0	16740	189205	1069	0	0	1298	70662	0
EC5	0	0	0	10313	37254	395	66081	3450	2561	4873	3901	0	665	0	15072	0	56693	0	1769	0	0	2168	334	608	4254	64047	0	0	0	857	43247	0
EC6	0	0	0	7184	19817	0	44077	0	0	1731	199	0	0	0	7827	0	12823	400	0	0	0	926	24	0	2668	119909	0	0	0	0	13065	0
EC7	0	0	0	13473	35199	0	55126	643	0	4673	4589	0	199	728	14967	0	39902	0	2236	0	0	2658	379	0	5257	240805	237	769	0	0	23979	0
EC8	421	0	0	25065	74310	0	63340	1357	6	13855	15431	0	612	0	11575	0	30179	0	4061	0	765	3709	2294	0	11682	90630	753	0	0	0	42683	0
EC9	0	1075	0	2870	33799	1984	89466	0	2049	6560	10787	0	0	0	23347	0	117292	2491	0	0	0	2694	0	0	662	158453	0	1526	0	0	28440	0
EC10	200	0	0	17404	42190	1054	53712	0	0	7370	14717	0	1269	0	8397	0	23776	504	2407	0	163	3626	481	995	10759	114238	143	475	0	0	26960	0
EC11	22	0	0	2916	5913	0	4192	64	0	1403	424	66	0	0	1013	0	3500	0	223	0	113	72	239	0	391	230818	0	0	0	0	4568	0
ES1	114	0	0	7461	27879	26	8613	11	0	11154	310	0	17	0	478	12	209	0	2439	0	305	375	689	10	619	30807	70	0	0	14	4550	0
ES2	107	0	0	10626	27745	21	9426	29	0	10986	606	0	22	0	536	22	116	0	2719	0	518	535	661	8	883	35891	60	19	0	10	12442	0
ES3	152	0	0	19295	43963	25	12587	66	0	19441	312	0	31	0	1146	24	417	0	4680	0	601	539	1689	19	1452	48394	134	6	0	32	10115	0
ES4	198	0	0	15682	30055	17	7983	41	0	22076	19	0	8	0	622	13	513	0	4949	0	684	1489	1009	44	835	33758	109	0	0	3	6037	0
ES5	223	0	0	19076	31388	92	6810	41	0	16807	87	0	33	0	596	0	245	0	3027	0	624	287	1376	16	1640	38290	88	10	0	35	8944	0
ES6	272	0	0	9223	20903	5	4662	5	0	19804	199	0	48	0	320	0	102	0	1407	0	731	142	498	19	1246	19634	51	0	0	10	4732	0
ES7	320	0	0	7009	16849	6	5150	25	0	8236	109	0	30	0	411	0	114	0	1423	0	352	287	531	15	835	22583	48	7	0	22	5357	0
ES8	120	0	0	12966	24995	45	5589	20	0	16553	36	0	11	0	555	0	159	0	2604	0	731	214	924	9	1431	35938	89	0	0	7	6383	0
ES9	825	0	0	8398	46534	16	7524	30	0	17353	69	0	210	0	407	0	343	0	2085	0	408	161	915	29	633	43241	74	16	0	6	4080	0
ES10	214	0	0	15503	29441	70	7791	4	0	19376	197	0	42	0	453	0	164	0	2757	0	793	378	713	22	1350	40097	101	4	0	37	8136	0
ES11	277	0	0	14274	32886	54	10455	45	0	17546	74	0	55	0	548	0	130	0	2910	0	647	280	916	29	1063	43295	89	9	0	13	9099	0
