"taxon"	"AC1"	"AC2"	"AC3"	"AC4"	"AC5"	"AC6"	"AC7"	"AC8"	"AC9"	"AC10"	"AC11"	"AC12"	"AS1"	"AS2"	"AS3"	"AS4"	"AS5"	"AS6"	"AS7"	"AS8"	"AS9"	"AS10"	"AS11"	"AS12"	"EC1"	"EC2"	"EC3"	"EC4"	"EC5"	"EC6"	"EC7"	"EC8"	"EC9"	"EC10"	"EC11"	"ES1"	"ES2"	"ES3"	"ES4"	"ES5"	"ES6"	"ES7"	"ES8"	"ES9"	"ES10"	"ES11"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Segetibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"641"	"0"	"0"	"65"	"0"	"0"	"0"	"245"	"0"	"143"	"179"	"164"	"126"	"120"	"48"	"58"	"79"	"46"	"80"	"116"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Taibaiella"	"0"	"0"	"14"	"3458"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4839"	"607"	"4522"	"381"	"81"	"1145"	"3279"	"438"	"1781"	"169"	"887"	"933"	"1471"	"1425"	"791"	"397"	"603"	"580"	"366"	"994"	"1129"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured"	"18380"	"6698"	"13401"	"4429"	"1548"	"1940"	"25513"	"20550"	"5198"	"3812"	"10200"	"1851"	"13181"	"11645"	"11160"	"10213"	"12493"	"13907"	"9127"	"10556"	"12456"	"7269"	"7146"	"5306"	"9658"	"5065"	"3860"	"1912"	"2251"	"702"	"313"	"1185"	"0"	"0"	"289"	"647"	"653"	"1184"	"814"	"464"	"208"	"167"	"195"	"153"	"359"	"431"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"709"	"0"	"0"	"0"	"0"	"0"	"160"	"20"	"23"	"39"	"0"	"20"	"15"	"8"	"8"	"7"	"21"	"30"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Aureispira"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1386"	"2384"	"0"	"0"	"0"	"205"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__OLB8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3295"	"0"	"1221"	"423"	"0"	"470"	"595"	"0"	"0"	"66"	"118"	"176"	"163"	"31"	"61"	"14"	"20"	"18"	"10"	"41"	"70"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5348"	"6944"	"1127"	"972"	"2343"	"10786"	"0"	"4727"	"338"	"854"	"865"	"1441"	"245"	"911"	"621"	"752"	"864"	"365"	"1084"	"1343"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__uncultured; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4681"	"696"	"2235"	"0"	"0"	"1697"	"4801"	"0"	"1052"	"77"	"101"	"100"	"182"	"123"	"127"	"106"	"99"	"242"	"119"	"194"	"179"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Marinoscillum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"675"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga"	"659"	"405"	"167"	"0"	"0"	"359"	"17"	"1142"	"2906"	"561"	"177"	"8"	"398"	"421"	"752"	"319"	"216"	"213"	"391"	"236"	"365"	"345"	"303"	"321"	"2600"	"0"	"0"	"865"	"0"	"1113"	"0"	"347"	"0"	"0"	"0"	"0"	"11"	"5"	"0"	"0"	"0"	"23"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"620"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Adhaeribacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1007"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter"	"356"	"59"	"82"	"5189"	"0"	"301"	"290"	"106"	"681"	"345"	"165"	"0"	"76"	"586"	"409"	"517"	"34"	"51"	"83"	"399"	"114"	"397"	"758"	"87"	"0"	"0"	"731"	"1111"	"1089"	"7804"	"0"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Pontibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2094"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"699"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__Chryseolinea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"534"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"0"	"158"	"144"	"259"	"258"	"65"	"64"	"66"	"62"	"78"	"80"	"65"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__OLB12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"2315"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"35"	"49"	"16"	"14"	"29"	"17"	"9"	"0"	"19"	"30"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1923"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"45"	"92"	"253"	"540"	"0"	"0"	"11"	"0"	"0"	"9"	"11"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Rudanella"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"809"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"15"	"0"	"0"	"2"	"5"	"0"	"0"	"3"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Spirosoma"	"0"	"0"	"0"	"8796"	"0"	"0"	"0"	"22"	"89"	"0"	"0"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1364"	"2371"	"387"	"277"	"0"	"345"	"756"	"789"	"1021"	"35"	"57"	"57"	"118"	"9"	"35"	"14"	"51"	"16"	"111"	"31"	"57"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1803"	"0"	"0"	"0"	"0"	"0"	"1608"	"0"	"0"	"133"	"151"	"254"	"6"	"57"	"32"	"34"	"8"	"16"	"38"	"63"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Crocinitomix"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"42"	"2325"	"0"	"0"	"761"	"0"	"0"	"370"	"100"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"677"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"85"	"45"	"0"	"19"	"0"	"7"	"0"	"0"	"13"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium"	"53"	"153"	"0"	"47"	"249"	"69"	"0"	"6"	"73"	"57"	"154"	"102"	"0"	"47"	"12"	"0"	"0"	"10"	"0"	"10"	"0"	"90"	"78"	"25"	"25152"	"267"	"2373"	"35677"	"621"	"1480"	"399"	"1487"	"38"	"1450"	"174"	"2076"	"2498"	"1285"	"587"	"2015"	"1488"	"1461"	"1305"	"4434"	"2073"	"3514"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Subsaxibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"780"	"0"	"0"	"391"	"0"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"49"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group"	"0"	"0"	"358"	"0"	"0"	"0"	"132"	"1013"	"0"	"0"	"0"	"0"	"12"	"46"	"23"	"19"	"128"	"187"	"20"	"19"	"17"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"726"	"0"	"70"	"64"	"91"	"0"	"0"	"32"	"38"	"0"	"0"	"46"	"34"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae"	"0"	"0"	"0"	"1205"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium"	"111"	"3468"	"130"	"17975"	"391"	"220"	"443"	"119"	"454"	"425"	"177"	"442"	"61"	"762"	"572"	"637"	"137"	"86"	"127"	"372"	"85"	"156"	"150"	"58"	"9135"	"0"	"26843"	"25802"	"17682"	"1106"	"630"	"976"	"1251"	"1833"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium"	"0"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"17"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1850"	"290"	"0"	"0"	"0"	"0"	"241"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Empedobacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2589"	"0"	"0"	"0"	"0"	"0"	"87"	"1383"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1185"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767; g__AKYH767"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3657"	"2918"	"0"	"0"	"2113"	"0"	"0"	"0"	"0"	"108"	"152"	"222"	"61"	"59"	"100"	"113"	"73"	"47"	"142"	"157"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__KD3-93; g__KD3-93"	"2473"	"551"	"189"	"85"	"833"	"536"	"265"	"1955"	"71"	"256"	"680"	"137"	"1728"	"1693"	"1109"	"1440"	"1190"	"2113"	"1728"	"1313"	"2072"	"1293"	"2944"	"2275"	"0"	"0"	"0"	"0"	"890"	"0"	"0"	"1489"	"0"	"532"	"0"	"0"	"40"	"49"	"49"	"0"	"18"	"5"	"0"	"0"	"69"	"6"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobiaceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"450"	"0"	"0"	"0"	"9"	"13"	"21"	"124"	"362"	"27"	"39"	"15"	"24"	"25"	"16"	"26"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobium"	"4796"	"713"	"523"	"25"	"1646"	"273"	"1627"	"2176"	"865"	"1384"	"385"	"752"	"28"	"25"	"16"	"22"	"13"	"250"	"30"	"18"	"40"	"36"	"75"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__LiUU-11-161; g__LiUU-11-161"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1636"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12_marine_group; g__NS11-12_marine_group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1376"	"0"	"0"	"1939"	"0"	"0"	"428"	"0"	"0"	"0"	"28"	"0"	"0"	"0"	"27"	"0"	"40"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae"	"0"	"0"	"0"	"716"	"0"	"0"	"0"	"191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2195"	"0"	"16316"	"5629"	"6531"	"709"	"2864"	"1477"	"2889"	"284"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter"	"107"	"172"	"78"	"1224"	"0"	"37"	"0"	"67"	"185"	"912"	"0"	"10"	"5075"	"451"	"801"	"461"	"9913"	"2786"	"1029"	"310"	"203"	"72"	"228"	"368"	"0"	"0"	"0"	"0"	"0"	"3703"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter"	"464"	"397"	"315"	"24979"	"434"	"582"	"185"	"141"	"1400"	"388"	"71"	"127"	"305"	"8425"	"3181"	"3145"	"372"	"443"	"746"	"1346"	"693"	"1139"	"959"	"723"	"0"	"1990"	"0"	"2006"	"2670"	"103"	"2798"	"2339"	"2401"	"0"	"0"	"7"	"30"	"25"	"0"	"26"	"11"	"35"	"16"	"72"	"55"	"41"
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17"	"4078"	"1897"	"394"	"198"	"276"	"1525"	"674"	"1393"	"490"	"1816"	"164"	"183"	"296"	"940"	"820"	"998"	"824"	"342"	"301"	"359"	"330"	"249"	"312"	"244"	"0"	"0"	"2229"	"0"	"0"	"0"	"0"	"1333"	"0"	"638"	"36"	"292"	"271"	"549"	"1004"	"180"	"264"	"244"	"570"	"594"	"502"	"746"
"d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales"	"165"	"162"	"111"	"15"	"0"	"259"	"104"	"436"	"123"	"156"	"0"	"0"	"703"	"423"	"527"	"607"	"1858"	"1038"	"1085"	"615"	"765"	"660"	"929"	"813"	"0"	"0"	"317"	"220"	"0"	"0"	"0"	"0"	"0"	"488"	"5"	"34"	"53"	"83"	"46"	"47"	"65"	"51"	"99"	"67"	"88"	"63"
"d__Bacteria; p__Bacteroidota; c__SJA-28; o__SJA-28; f__SJA-28; g__SJA-28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2662"	"2624"	"2449"	"0"	"843"	"3290"	"1612"	"0"	"2021"	"66"	"53"	"92"	"51"	"233"	"56"	"28"	"39"	"45"	"61"	"56"	"66"
"d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"361"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"1792"	"510"	"0"	"0"	"0"	"0"	"0"	"64"	"0"	"20"	"26"	"35"	"41"	"0"	"25"	"12"	"30"	"0"	"35"
"d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio"	"243"	"138"	"11"	"5"	"0"	"240"	"241"	"198"	"0"	"521"	"0"	"0"	"6"	"65"	"45"	"44"	"103"	"41"	"36"	"31"	"23"	"13"	"0"	"4"	"0"	"0"	"0"	"900"	"483"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"
"d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20"	"872"	"561"	"380"	"0"	"0"	"880"	"1003"	"1730"	"614"	"503"	"768"	"963"	"120"	"176"	"163"	"283"	"650"	"330"	"214"	"273"	"144"	"165"	"75"	"97"	"0"	"0"	"932"	"1339"	"2096"	"0"	"643"	"1357"	"0"	"0"	"0"	"11"	"9"	"33"	"6"	"0"	"5"	"0"	"8"	"0"	"4"	"0"
"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3899"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2235"	"0"	"0"	"1012"	"836"	"0"	"0"	"6"	"2049"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Sulfurimonadaceae; g__Sulfurimonas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"568"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Sulfurovaceae; g__Sulfurovum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1157"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Chloroflexi"	"376"	"86"	"0"	"0"	"0"	"48"	"270"	"86"	"0"	"112"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Chloroflexi; c__AD3; o__AD3; f__AD3; g__AD3"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"363"	"0"	"59"	"8"	"12"	"59"	"21"	"60"	"141"	"70"	"130"	"128"	"387"	"275"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"0"	"189"	"22"	"72"	"120"	"136"	"123"	"139"	"248"	"136"	"165"	"131"	"180"	"139"
